customer_id,order_type,date,order_id,status,product_code,product_name,product_category,price_uni,quantity,revenue
41727954,Website Order,29/08/22,4000217775,Processed,667863,Karma Kup (320ml/Process Blue),Drinkware,23,1,12.32
41689535,Website Order,25/02/23,4000235898,Processed,674669,Karma Kup (320ml/Navy Blue),Tea & Coffee,23,1,12.32
41735109,Website Order,25/11/22,4000227166,Processed,669375,Karma Kup (320ml/Red),Tea & Coffee,23,1,12.32
41728199,Website Order,30/11/22,4000228333,Processed,669375,Karma Kup (320ml/Red),Tea & Coffee,23,1,12.32
41734319,Website Order,30/01/24,4000268834,Processed,675290,Floating Buoy Keyring,Automotive Accessories,24,1,12.86
41739225,Website Order,25/05/23,4000243313,Processed,675290,Floating Buoy Keyring,Automotive Accessories,24,1,12.86
41687691,Website Order,30/08/23,4000252369,Processed,676017,Herb & Spice Mill Spicy Guacamole + Dill & Wild Onion Dip Duo,Food,26,1,13.93
41665445,Website Order,8/05/23,4000241714,Processed,674669,Karma Kup (320ml/Navy Blue),Tea & Coffee,28,1,15
41735953,Website Order,3/03/23,4000236403,Processed,675289,Retro Sunglasses with UV Protection (Black),Sunglasses,29,1,15.54
41682843,Website Order,19/10/23,4000256875,Processed,676001,Choice Fruit Posh Piccalilli (200g),Food,32,1,17.15
41665710,Website Order,19/05/23,4000242800,Processed,676008,Harbourside Dark Chocolate Macadamias (120g),Food,32,1,17.15
41665710,Website Order,19/05/23,4000242832,Processed,676001,Choice Fruit Posh Piccalilli (200g),Food,32,1,17.15
41665710,Website Order,19/05/23,4000242832,Processed,676008,Harbourside Dark Chocolate Macadamias (120g),Food,32,1,17.15
41744099,Website Order,6/12/22,4000229471,Processed,668608,Molly Woppy Cranberry Dark Choccy Chunk Artisan Cookies,Food,33,1,17.68
41739225,Website Order,25/05/23,4000243313,Processed,676008,Harbourside Dark Chocolate Macadamias (120g),Food,33,1,17.68
41665133,Website Order,29/11/22,4000227985,Processed,668608,Molly Woppy Cranberry Dark Choccy Chunk Artisan Cookies,Food,33,1,17.68
41665976,Website Order,26/03/24,4000272833,Processed,676377,Travel First Aid Kit (Red),Health & Wellness,34,1,18.22
41665004,Website Order,15/02/24,4000269862,Processed,664944,Crayola Washable Super Tip Markers (20 Pack),Toys,35,1,18.75
41734319,Website Order,30/01/24,4000268834,Processed,676377,Travel First Aid Kit (Red),Health & Wellness,36,1,19.29
41742293,Website Order,30/03/24,4000273087,Processed,676377,Travel First Aid Kit (Red),Health & Wellness,36,1,19.29
41746894,Website Order,28/11/23,4000262769,Processed,676377,Travel First Aid Kit (Red),Health & Wellness,36,1,19.29
41732985,Website Order,21/03/24,4000272482,Processed,664944,Crayola Washable Super Tip Markers (20 Pack),Toys,37,1,19.82
41751550,Outbound Phone Order,30/11/23,4000263381,Processed,678979,Baci Milk Chocolate Bag 125g,Food,38,1,20.36
41683767,Website Order,30/08/23,4000252399,Processed,668608,Molly Woppy Cranberry Dark Choccy Chunk Artisan Cookies,Food,38,1,20.36
41749552,Website Order,2/12/23,4000263856,Processed,676559,Clear As Karma Kup w/Flip Lid (Turquoise),Tea & Coffee,38,1,20.36
41690133,Website Order,29/09/23,4000255081,Processed,663385,TacklePro 45degree Beak Hook 20pcs (6/0),Fishing,40,1,21.43
41665501,Outbound Phone Order,7/12/23,4000264659,Processed,678979,Baci Milk Chocolate Bag 125g,Food,40,1,21.43
41735944,Website Order,6/12/23,4000264572,Processed,678979,Baci Milk Chocolate Bag 125g,Food,40,1,21.43
41664730,Outbound Phone Order,7/12/23,4000264649,Processed,678979,Baci Milk Chocolate Bag 125g,Food,40,1,21.43
41743688,Website Order,10/12/23,4000265111,Processed,672051,McGregors SS Cultivator,Gardening General,40,1,21.43
41664682,Outbound Phone Order,7/12/23,4000264647,Processed,678979,Baci Milk Chocolate Bag 125g,Food,40,1,21.43
41735847,Outbound Phone Order,7/12/23,4000264687,Processed,676558,Clear As Karma Kup w/Flip Lid (Navy),Tea & Coffee,40,1,21.43
41665991,Outbound Phone Order,7/12/23,4000264681,Processed,676558,Clear As Karma Kup w/Flip Lid (Navy),Tea & Coffee,40,1,21.43
41729080,Outbound Phone Order,7/12/23,4000264755,Processed,678979,Baci Milk Chocolate Bag 125g,Food,40,1,21.43
41737570,Inbound Phone Order,28/11/23,4000262878,Processed,678979,Baci Milk Chocolate Bag 125g,Food,40,1,21.43
41664347,Website Order,23/04/24,4000274708,Processed,676557,Clear As Karma Kup w/Flip Lid (Red),Tea & Coffee,40,1,21.43
41664347,Website Order,23/04/24,4000274708,Processed,676559,Clear As Karma Kup w/Flip Lid (Turquoise),Tea & Coffee,40,1,21.43
41665544,Website Order,3/12/23,4000263914,Processed,678979,Baci Milk Chocolate Bag 125g,Food,40,1,21.43
41741311,Website Order,28/11/23,4000262955,Processed,678979,Baci Milk Chocolate Bag 125g,Food,40,1,21.43
41757974,Website Order,25/09/23,4000254660,Processed,672594,Mr. Zog's Sexwax Car Air Fresheners (Grape),Automotive Accessories,41,1,21.97
